Date,Day of Week,Visitor Team,Home Team,VisitorPts,HomePts,Day or Night,Attendance,Time of Game (minutes)
04/08/2021,Wed,Minnesota Twins,Cincinnati Reds,5,6,D,16828,195
04/08/2021,Wed,Chicago Cubs,Colorado Rockies,3,2,N,36205,184
04/08/2021,Wed,Houston Astros,Los Angeles Dodgers,5,7,N,52724,190
04/08/2021,Wed,New York Mets,Miami Marlins,5,3,N,9760,213
04/08/2021,Wed,Pittsburgh Pirates,Milwaukee Brewers,2,4,D,28003,196
04/08/2021,Wed,Atlanta Braves,St. Louis Cardinals,7,4,N,32205,208
04/08/2021,Wed,Philadelphia Phillies,Washington Nationals,9,5,N,18482,190
04/08/2021,Wed,Kansas City Royals,Chicago White Sox,9,1,N,22793,194
04/08/2021,Wed,Boston Red Sox,Detroit Tigers,4,1,N,16633,200
04/08/2021,Wed,Baltimore Orioles,New York Yankees,3,10,N,30055,176
04/08/2021,Wed,San Diego Padres,Oakland Athletics,4,5,D,10648,203
04/08/2021,Wed,Seattle Mariners,Tampa Bay Rays,3,4,D,9701,159
04/08/2021,Wed,Los Angeles Angels,Texas Rangers,2,1,N,27360,173
04/08/2021,Wed,Cleveland Indians,Toronto Blue Jays,6,8,N,14410,196
05/08/2021,Thu,San Francisco Giants,Arizona D'Backs,5,4,D,8773,220
05/08/2021,Thu,Pittsburgh Pirates,Cincinnati Reds,4,7,N,19393,197
05/08/2021,Thu,Chicago Cubs,Colorado Rockies,5,6,D,30462,190
05/08/2021,Thu,New York Mets,Miami Marlins,2,4,D,9745,218
05/08/2021,Thu,Atlanta Braves,St. Louis Cardinals,8,4,N,30549,210
05/08/2021,Thu,Philadelphia Phillies,Washington Nationals,7,6,D,22575,223
05/08/2021,Thu,Kansas City Royals,Chicago White Sox,3,2,N,23589,178
05/08/2021,Thu,Boston Red Sox,Detroit Tigers,1,8,D,19144,194
05/08/2021,Thu,Minnesota Twins,Houston Astros,5,3,N,26208,194
05/08/2021,Thu,Seattle Mariners,New York Yankees,3,5,N,33211,193
05/08/2021,Thu,Los Angeles Angels,Texas Rangers,5,0,D,21670,179
05/08/2021,Thu,Cleveland Indians,Toronto Blue Jays,0,3,N,14289,145
06/08/2021,Fri,Washington Nationals,Atlanta Braves,4,8,N,34454,191
06/08/2021,Fri,Chicago White Sox,Chicago Cubs,8,6,D,39539,267
06/08/2021,Fri,Pittsburgh Pirates,Cincinnati Reds,0,10,N,27804,161
06/08/2021,Fri,Miami Marlins,Colorado Rockies,2,14,N,28281,171
06/08/2021,Fri,Los Angeles Angels,Los Angeles Dodgers,4,3,N,50822,241
06/08/2021,Fri,San Francisco Giants,Milwaukee Brewers,1,2,N,33250,188
06/08/2021,Fri,New York Mets,Philadelphia Phillies,2,4,N,30106,196
06/08/2021,Fri,Arizona D'Backs,San Diego Padres,8,5,N,34038,189
06/08/2021,Fri,Kansas City Royals,St. Louis Cardinals,2,4,N,29090,169
06/08/2021,Fri,Tampa Bay Rays,Baltimore Orioles,10,6,N,11320,227
06/08/2021,Fri,Detroit Tigers,Cleveland Indians,1,6,N,24485,191
06/08/2021,Fri,Minnesota Twins,Houston Astros,5,4,N,29631,234
06/08/2021,Fri,Seattle Mariners,New York Yankees,2,3,N,43180,256
06/08/2021,Fri,Texas Rangers,Oakland Athletics,1,4,N,9022,210
06/08/2021,Fri,Boston Red Sox,Toronto Blue Jays,4,12,N,14719,214
07/08/2021,Sat,Washington Nationals,Atlanta Braves,3,2,N,38300,181
07/08/2021,Sat,Chicago White Sox,Chicago Cubs,4,0,D,40077,190
07/08/2021,Sat,Pittsburgh Pirates,Cincinnati Reds,3,11,N,31297,195
07/08/2021,Sat,Miami Marlins,Colorado Rockies,4,7,N,39896,197
07/08/2021,Sat,Los Angeles Angels,Los Angeles Dodgers,3,5,N,50808,185
07/08/2021,Sat,San Francisco Giants,Milwaukee Brewers,9,6,N,34155,266
07/08/2021,Sat,New York Mets,Philadelphia Phillies,3,5,D,37057,215
07/08/2021,Sat,Arizona D'Backs,San Diego Padres,2,6,N,39134,198
07/08/2021,Sat,Kansas City Royals,St. Louis Cardinals,2,5,N,36615,187
07/08/2021,Sat,Tampa Bay Rays,Baltimore Orioles,12,3,N,18545,182
07/08/2021,Sat,Detroit Tigers,Cleveland Indians,2,1,N,24560,159
07/08/2021,Sat,Minnesota Twins,Houston Astros,0,4,N,29647,175
07/08/2021,Sat,Seattle Mariners,New York Yankees,4,5,D,35165,191
07/08/2021,Sat,Texas Rangers,Oakland Athletics,3,12,D,10082,184
07/08/2021,Sat,Boston Red Sox,Toronto Blue Jays,0,1,D,14768,115
07/08/2021,Sat,Boston Red Sox,Toronto Blue Jays,2,1,N,12659,179
08/08/2021,Sun,Washington Nationals,Atlanta Braves,4,5,D,29101,162
08/08/2021,Sun,Chicago White Sox,Chicago Cubs,9,3,N,39412,186
08/08/2021,Sun,Pittsburgh Pirates,Cincinnati Reds,2,3,D,23740,172
08/08/2021,Sun,Miami Marlins,Colorado Rockies,8,13,D,34677,186
08/08/2021,Sun,Los Angeles Angels,Los Angeles Dodgers,2,8,D,46982,178
08/08/2021,Sun,San Francisco Giants,Milwaukee Brewers,5,4,D,38597,169
08/08/2021,Sun,New York Mets,Philadelphia Phillies,0,3,D,39186,140
08/08/2021,Sun,Arizona D'Backs,San Diego Padres,0,2,D,30989,163
08/08/2021,Sun,Kansas City Royals,St. Louis Cardinals,6,5,D,31943,223
08/08/2021,Sun,Tampa Bay Rays,Baltimore Orioles,9,6,D,10576,212
08/08/2021,Sun,Detroit Tigers,Cleveland Indians,5,7,D,19899,182
08/08/2021,Sun,Minnesota Twins,Houston Astros,7,5,D,26825,247
08/08/2021,Sun,Seattle Mariners,New York Yankees,2,0,D,35437,228
08/08/2021,Sun,Texas Rangers,Oakland Athletics,3,6,D,9548,180
08/08/2021,Sun,Boston Red Sox,Toronto Blue Jays,8,9,D,14766,244
09/08/2021,Mon,Miami Marlins,San Diego Padres,3,8,N,26841,186
09/08/2021,Mon,Cincinnati Reds,Cleveland Indians,3,9,N,10708,189
09/08/2021,Mon,New York Yankees,Kansas City Royals,8,6,N,18477,292
09/08/2021,Mon,Chicago White Sox,Minnesota Twins,11,1,N,17858,168
10/08/2021,Tue,Cincinnati Reds,Atlanta Braves,2,3,N,24432,182
10/08/2021,Tue,Milwaukee Brewers,Chicago Cubs,4,2,D,29031,158
10/08/2021,Tue,Milwaukee Brewers,Chicago Cubs,6,3,N,28674,175
10/08/2021,Tue,Washington Nationals,New York Mets,7,8,D,27261,217
10/08/2021,Tue,Los Angeles Dodgers,Philadelphia Phillies,5,0,N,28333,215
10/08/2021,Tue,St. Louis Cardinals,Pittsburgh Pirates,4,1,N,10056,171
10/08/2021,Tue,Miami Marlins,San Diego Padres,5,6,N,32060,204
10/08/2021,Tue,Arizona D'Backs,San Francisco Giants,7,8,N,23802,190
10/08/2021,Tue,Los Angeles Angels,Toronto Blue Jays,6,3,D,3656,163
10/08/2021,Tue,Detroit Tigers,Baltimore Orioles,9,4,N,7124,193
10/08/2021,Tue,Tampa Bay Rays,Boston Red Sox,8,4,N,28356,208
10/08/2021,Tue,Oakland Athletics,Cleveland Indians,4,3,N,13041,222
10/08/2021,Tue,Colorado Rockies,Houston Astros,0,5,N,28931,208
10/08/2021,Tue,New York Yankees,Kansas City Royals,4,8,N,18218,183
10/08/2021,Tue,Chicago White Sox,Minnesota Twins,3,4,N,18302,163
10/08/2021,Tue,Texas Rangers,Seattle Mariners,5,4,N,15412,208
10/08/2021,Tue,Toronto Blue Jays,Los Angeles Angels,4,0,N,14443,143
11/08/2021,Wed,Cincinnati Reds,Atlanta Braves,6,8,N,23375,238
11/08/2021,Wed,Milwaukee Brewers,Chicago Cubs,10,0,N,29619,178
11/08/2021,Wed,Los Angeles Dodgers,Philadelphia Phillies,8,2,N,32186,230
11/08/2021,Wed,St. Louis Cardinals,Pittsburgh Pirates,4,0,N,8548,172
11/08/2021,Wed,Miami Marlins,San Diego Padres,7,0,D,29753,187
11/08/2021,Wed,Arizona D'Backs,San Francisco Giants,2,7,N,20037,194
11/08/2021,Wed,Toronto Blue Jays,Los Angeles Angels,10,2,N,22620,183
11/08/2021,Wed,Detroit Tigers,Baltimore Orioles,5,2,N,8990,181
11/08/2021,Wed,Tampa Bay Rays,Boston Red Sox,8,20,N,30286,197
11/08/2021,Wed,Oakland Athletics,Cleveland Indians,6,3,N,13560,194
11/08/2021,Wed,Colorado Rockies,Houston Astros,1,5,D,22200,184
11/08/2021,Wed,New York Yankees,Kansas City Royals,5,2,D,13748,202
11/08/2021,Wed,Chicago White Sox,Minnesota Twins,0,1,D,22370,168
11/08/2021,Wed,Texas Rangers,Seattle Mariners,1,2,N,15789,192
12/08/2021,Thu,San Diego Padres,Arizona D'Backs,3,12,N,9086,222
12/08/2021,Thu,Cincinnati Reds,Atlanta Braves,12,3,N,23395,192
12/08/2021,Thu,Milwaukee Brewers,Chicago Cubs,17,4,D,32502,240
12/08/2021,Thu,Washington Nationals,New York Mets,1,4,D,0,148
12/08/2021,Thu,Washington Nationals,New York Mets,4,5,D,25870,166
12/08/2021,Thu,Los Angeles Dodgers,Philadelphia Phillies,1,2,D,26122,190
12/08/2021,Thu,St. Louis Cardinals,Pittsburgh Pirates,7,6,D,8676,219
12/08/2021,Thu,Colorado Rockies,San Francisco Giants,0,7,N,24295,164
12/08/2021,Thu,Toronto Blue Jays,Los Angeles Angels,3,6,N,19590,188
12/08/2021,Thu,Detroit Tigers,Baltimore Orioles,6,4,D,8382,180
12/08/2021,Thu,Tampa Bay Rays,Boston Red Sox,8,1,D,26803,179
12/08/2021,Thu,New York Yankees,Chicago White Sox,8,9,N,7832,209
12/08/2021,Thu,Oakland Athletics,Cleveland Indians,17,0,D,16559,207
12/08/2021,Thu,Texas Rangers,Seattle Mariners,1,3,D,14031,128
13/08/2021,Fri,San Diego Padres,Arizona D'Backs,2,3,N,12866,186
13/08/2021,Fri,Chicago Cubs,Miami Marlins,10,14,N,11728,254
13/08/2021,Fri,Los Angeles Dodgers,New York Mets,6,5,N,38395,258
13/08/2021,Fri,Cincinnati Reds,Philadelphia Phillies,6,1,N,26074,178
13/08/2021,Fri,Colorado Rockies,San Francisco Giants,4,5,N,36126,193
13/08/2021,Fri,Atlanta Braves,Washington Nationals,4,2,N,24812,182
13/08/2021,Fri,Houston Astros,Los Angeles Angels,4,1,N,23981,171
13/08/2021,Fri,Baltimore Orioles,Boston Red Sox,1,8,N,28022,185
13/08/2021,Fri,Cleveland Indians,Detroit Tigers,7,4,N,22107,177
13/08/2021,Fri,St. Louis Cardinals,Kansas City Royals,6,0,N,30620,188
13/08/2021,Fri,Tampa Bay Rays,Minnesota Twins,10,4,N,23125,194
13/08/2021,Fri,Toronto Blue Jays,Seattle Mariners,2,3,N,28207,180
13/08/2021,Fri,Oakland Athletics,Texas Rangers,6,8,N,26761,182
14/08/2021,Sat,San Diego Padres,Arizona D'Backs,0,7,N,16716,151
14/08/2021,Sat,Chicago Cubs,Miami Marlins,4,5,N,11225,183
14/08/2021,Sat,Los Angeles Dodgers,New York Mets,2,1,N,38669,201
14/08/2021,Sat,Cincinnati Reds,Philadelphia Phillies,1,6,D,25100,158
14/08/2021,Sat,Milwaukee Brewers,Pittsburgh Pirates,4,14,D,16991,163
14/08/2021,Sat,Milwaukee Brewers,Pittsburgh Pirates,6,0,N,24081,154
14/08/2021,Sat,Colorado Rockies,San Francisco Giants,4,1,N,32282,187
14/08/2021,Sat,Atlanta Braves,Washington Nationals,12,2,N,27959,197
14/08/2021,Sat,Houston Astros,Los Angeles Angels,8,2,N,27121,215
14/08/2021,Sat,Baltimore Orioles,Boston Red Sox,2,16,D,33118,192
14/08/2021,Sat,New York Yankees,Chicago White Sox,7,5,N,38477,260
14/08/2021,Sat,Cleveland Indians,Detroit Tigers,4,6,N,32845,207
14/08/2021,Sat,St. Louis Cardinals,Kansas City Royals,9,4,N,35784,205
14/08/2021,Sat,Tampa Bay Rays,Minnesota Twins,0,12,N,21034,171
14/08/2021,Sat,Toronto Blue Jays,Seattle Mariners,3,9,N,26020,212
14/08/2021,Sat,Oakland Athletics,Texas Rangers,8,3,N,31904,175
15/08/2021,Sun,San Diego Padres,Arizona D'Backs,8,2,D,17722,199
15/08/2021,Sun,Chicago Cubs,Miami Marlins,1,4,D,10262,201
15/08/2021,Sun,Los Angeles Dodgers,New York Mets,14,4,N,31205,228
15/08/2021,Sun,Cincinnati Reds,Philadelphia Phillies,7,4,D,28544,234
15/08/2021,Sun,Milwaukee Brewers,Pittsburgh Pirates,2,1,D,12001,189
15/08/2021,Sun,Colorado Rockies,San Francisco Giants,2,5,D,33337,173
15/08/2021,Sun,Atlanta Braves,Washington Nationals,6,5,D,27488,199
15/08/2021,Sun,Houston Astros,Los Angeles Angels,1,3,D,19281,182
15/08/2021,Sun,Baltimore Orioles,Boston Red Sox,2,6,D,28935,187
15/08/2021,Sun,New York Yankees,Chicago White Sox,5,3,D,37696,228
15/08/2021,Sun,Cleveland Indians,Detroit Tigers,11,0,D,25684,171
15/08/2021,Sun,St. Louis Cardinals,Kansas City Royals,7,2,D,18317,184
15/08/2021,Sun,Tampa Bay Rays,Minnesota Twins,4,5,D,22467,201
15/08/2021,Sun,Toronto Blue Jays,Seattle Mariners,8,3,D,22679,185
15/08/2021,Sun,Oakland Athletics,Texas Rangers,4,7,D,24990,159
16/08/2021,Mon,Chicago Cubs,Cincinnati Reds,5,14,N,15404,217
16/08/2021,Mon,San Diego Padres,Colorado Rockies,5,6,N,24565,152
16/08/2021,Mon,Pittsburgh Pirates,Los Angeles Dodgers,1,2,N,48005,170
16/08/2021,Mon,Atlanta Braves,Miami Marlins,12,2,N,6442,208
16/08/2021,Mon,New York Mets,San Francisco Giants,5,7,N,23511,203
16/08/2021,Mon,Oakland Athletics,Chicago White Sox,2,5,N,19410,196
16/08/2021,Mon,Houston Astros,Kansas City Royals,6,7,N,10228,186
16/08/2021,Mon,Cleveland Indians,Minnesota Twins,4,5,N,15622,223
16/08/2021,Mon,Los Angeles Angels,New York Yankees,1,2,N,37010,169
16/08/2021,Mon,Baltimore Orioles,Tampa Bay Rays,2,9,N,5460,173
17/08/2021,Tue,Philadelphia Phillies,Arizona D'Backs,2,3,N,7796,169
17/08/2021,Tue,Chicago Cubs,Cincinnati Reds,2,1,N,13989,165
17/08/2021,Tue,San Diego Padres,Colorado Rockies,3,7,N,28139,177
17/08/2021,Tue,Pittsburgh Pirates,Los Angeles Dodgers,3,4,N,53114,209
17/08/2021,Tue,Atlanta Braves,Miami Marlins,2,0,N,6079,153
17/08/2021,Tue,New York Mets,San Francisco Giants,2,3,N,23610,147
17/08/2021,Tue,Milwaukee Brewers,St. Louis Cardinals,2,0,N,28058,195
17/08/2021,Tue,Toronto Blue Jays,Washington Nationals,6,12,N,20060,205
17/08/2021,Tue,Oakland Athletics,Chicago White Sox,0,9,N,21025,166
17/08/2021,Tue,Los Angeles Angels,Detroit Tigers,8,2,N,24714,210
17/08/2021,Tue,Houston Astros,Kansas City Royals,1,3,N,9748,165
17/08/2021,Tue,Cleveland Indians,Minnesota Twins,3,1,N,19605,181
17/08/2021,Tue,Boston Red Sox,New York Yankees,3,5,D,39078,176
17/08/2021,Tue,Boston Red Sox,New York Yankees,0,2,N,35237,151
17/08/2021,Tue,Baltimore Orioles,Tampa Bay Rays,0,10,N,4795,175
17/08/2021,Tue,Seattle Mariners,Texas Rangers,3,1,N,15140,176
18/08/2021,Wed,Philadelphia Phillies,Arizona D'Backs,2,4,N,7968,177
18/08/2021,Wed,Chicago Cubs,Cincinnati Reds,7,1,D,16922,181
18/08/2021,Wed,San Diego Padres,Colorado Rockies,5,7,D,20692,190
18/08/2021,Wed,Pittsburgh Pirates,Los Angeles Dodgers,0,9,N,52140,154
18/08/2021,Wed,Atlanta Braves,Miami Marlins,11,9,N,6871,229
18/08/2021,Wed,New York Mets,San Francisco Giants,6,2,D,25360,242
18/08/2021,Wed,Milwaukee Brewers,St. Louis Cardinals,6,4,N,25938,243
18/08/2021,Wed,Toronto Blue Jays,Washington Nationals,5,8,D,18336,199
18/08/2021,Wed,Oakland Athletics,Chicago White Sox,2,3,N,22780,200
18/08/2021,Wed,Los Angeles Angels,Detroit Tigers,3,1,N,27282,145
18/08/2021,Wed,Houston Astros,Kansas City Royals,2,3,N,12278,169
18/08/2021,Wed,Cleveland Indians,Minnesota Twins,7,8,D,19949,256
18/08/2021,Wed,Boston Red Sox,New York Yankees,2,5,N,39166,221
18/08/2021,Wed,Baltimore Orioles,Tampa Bay Rays,4,8,N,6673,189
18/08/2021,Wed,Seattle Mariners,Texas Rangers,3,1,N,19119,180
19/08/2021,Thu,Philadelphia Phillies,Arizona D'Backs,2,6,D,7165,168
19/08/2021,Thu,Miami Marlins,Cincinnati Reds,1,6,N,11581,163
19/08/2021,Thu,New York Mets,Los Angeles Dodgers,1,4,N,42133,166
19/08/2021,Thu,Milwaukee Brewers,St. Louis Cardinals,4,8,N,27545,201
19/08/2021,Thu,Oakland Athletics,Chicago White Sox,5,4,D,23853,177
19/08/2021,Thu,Los Angeles Angels,Detroit Tigers,13,10,D,20847,238
19/08/2021,Thu,Houston Astros,Kansas City Royals,6,3,D,9884,228
19/08/2021,Thu,Minnesota Twins,New York Yankees,5,7,N,30019,174
19/08/2021,Thu,Baltimore Orioles,Tampa Bay Rays,2,7,D,5826,169
19/08/2021,Thu,Seattle Mariners,Texas Rangers,9,8,D,16391,242
20/08/2021,Fri,Kansas City Royals,Chicago Cubs,6,2,D,31835,175
20/08/2021,Fri,Miami Marlins,Cincinnati Reds,3,5,N,19106,155
20/08/2021,Fri,Arizona D'Backs,Colorado Rockies,4,9,N,30243,196
20/08/2021,Fri,New York Mets,Los Angeles Dodgers,2,3,N,48117,159
20/08/2021,Fri,Washington Nationals,Milwaukee Brewers,4,1,N,27998,189
20/08/2021,Fri,Philadelphia Phillies,San Diego Padres,4,3,N,40927,218
20/08/2021,Fri,Pittsburgh Pirates,St. Louis Cardinals,4,0,N,28406,174
20/08/2021,Fri,Atlanta Braves,Baltimore Orioles,3,0,N,13583,149
20/08/2021,Fri,Texas Rangers,Boston Red Sox,0,6,N,30012,193
20/08/2021,Fri,Los Angeles Angels,Cleveland Indians,1,9,N,22755,182
20/08/2021,Fri,Seattle Mariners,Houston Astros,3,12,N,26899,185
20/08/2021,Fri,Minnesota Twins,New York Yankees,2,10,N,39124,182
20/08/2021,Fri,San Francisco Giants,Oakland Athletics,1,4,N,40133,186
20/08/2021,Fri,Chicago White Sox,Tampa Bay Rays,7,5,N,13178,229
20/08/2021,Fri,Detroit Tigers,Toronto Blue Jays,4,1,N,14649,186
21/08/2021,Sat,Kansas City Royals,Chicago Cubs,4,2,D,34005,182
21/08/2021,Sat,Miami Marlins,Cincinnati Reds,4,7,N,34433,172
21/08/2021,Sat,Arizona D'Backs,Colorado Rockies,2,5,N,32699,184
21/08/2021,Sat,New York Mets,Los Angeles Dodgers,3,4,D,44783,196
21/08/2021,Sat,Washington Nationals,Milwaukee Brewers,6,9,D,36938,258
21/08/2021,Sat,Philadelphia Phillies,San Diego Padres,3,4,N,43383,223
21/08/2021,Sat,Pittsburgh Pirates,St. Louis Cardinals,5,4,N,30205,205
21/08/2021,Sat,Atlanta Braves,Baltimore Orioles,5,4,N,15774,181
21/08/2021,Sat,Texas Rangers,Boston Red Sox,10,1,N,32495,205
21/08/2021,Sat,Los Angeles Angels,Cleveland Indians,1,5,D,31406,170
21/08/2021,Sat,Seattle Mariners,Houston Astros,1,15,D,29908,202
21/08/2021,Sat,Minnesota Twins,New York Yankees,1,7,D,35247,184
21/08/2021,Sat,San Francisco Giants,Oakland Athletics,6,5,D,36230,213
21/08/2021,Sat,Chicago White Sox,Tampa Bay Rays,4,8,D,22275,147
21/08/2021,Sat,Detroit Tigers,Toronto Blue Jays,0,3,D,14887,137
22/08/2021,Sun,Kansas City Royals,Chicago Cubs,9,1,D,29640,205
22/08/2021,Sun,Miami Marlins,Cincinnati Reds,1,3,D,17797,163
22/08/2021,Sun,Arizona D'Backs,Colorado Rockies,8,4,D,24552,230
22/08/2021,Sun,New York Mets,Los Angeles Dodgers,7,2,D,52749,197
22/08/2021,Sun,Washington Nationals,Milwaukee Brewers,3,7,D,33507,233
22/08/2021,Sun,Philadelphia Phillies,San Diego Padres,7,4,D,38548,200
22/08/2021,Sun,Pittsburgh Pirates,St. Louis Cardinals,0,3,D,34431,175
22/08/2021,Sun,Atlanta Braves,Baltimore Orioles,3,1,D,11180,175
22/08/2021,Sun,Los Angeles Angels,Cleveland Indians,0,3,N,1832,167
22/08/2021,Sun,Seattle Mariners,Houston Astros,6,3,D,27526,238
22/08/2021,Sun,San Francisco Giants,Oakland Athletics,2,1,D,30345,190
22/08/2021,Sun,Chicago White Sox,Tampa Bay Rays,0,9,D,16696,185
22/08/2021,Sun,Detroit Tigers,Toronto Blue Jays,5,3,D,14865,239
23/08/2021,Mon,New York Yankees,Atlanta Braves,5,1,N,39176,178
23/08/2021,Mon,Colorado Rockies,Chicago Cubs,4,6,N,25577,178
23/08/2021,Mon,Arizona D'Backs,Pittsburgh Pirates,5,6,N,8596,220
23/08/2021,Mon,Texas Rangers,Boston Red Sox,4,8,D,27652,224
23/08/2021,Mon,Kansas City Royals,Houston Astros,7,1,N,18742,215
23/08/2021,Mon,Seattle Mariners,Oakland Athletics,5,3,N,4140,187
23/08/2021,Mon,Chicago White Sox,Toronto Blue Jays,1,2,N,14640,164
24/08/2021,Tue,New York Yankees,Atlanta Braves,5,4,N,37426,215
24/08/2021,Tue,Washington Nationals,Miami Marlins,5,1,N,5394,196
24/08/2021,Tue,Cincinnati Reds,Milwaukee Brewers,4,7,N,24819,226
24/08/2021,Tue,San Francisco Giants,New York Mets,8,0,N,28558,196
24/08/2021,Tue,Tampa Bay Rays,Philadelphia Phillies,3,1,N,23402,177
24/08/2021,Tue,Arizona D'Backs,Pittsburgh Pirates,2,4,N,8478,166
24/08/2021,Tue,Los Angeles Dodgers,San Diego Padres,5,2,N,41676,203
24/08/2021,Tue,Detroit Tigers,St. Louis Cardinals,4,3,N,28185,193
24/08/2021,Tue,Los Angeles Angels,Baltimore Orioles,14,8,N,8781,230
24/08/2021,Tue,Minnesota Twins,Boston Red Sox,9,11,N,27986,249
24/08/2021,Tue,Texas Rangers,Cleveland Indians,7,3,N,11369,194
24/08/2021,Tue,Kansas City Royals,Houston Astros,0,4,N,22964,201
24/08/2021,Tue,Seattle Mariners,Oakland Athletics,5,1,D,4508,189
24/08/2021,Tue,Chicago White Sox,Toronto Blue Jays,5,2,N,14553,192
25/08/2021,Wed,Colorado Rockies,Chicago Cubs,2,5,D,24161,129
25/08/2021,Wed,Colorado Rockies,Chicago Cubs,13,10,N,24936,258
25/08/2021,Wed,Washington Nationals,Miami Marlins,3,4,N,6237,202
25/08/2021,Wed,Cincinnati Reds,Milwaukee Brewers,1,4,N,24715,188
25/08/2021,Wed,San Francisco Giants,New York Mets,3,2,N,24384,172
25/08/2021,Wed,Tampa Bay Rays,Philadelphia Phillies,7,4,N,25552,168
25/08/2021,Wed,Arizona D'Backs,Pittsburgh Pirates,5,2,N,8357,198
25/08/2021,Wed,Los Angeles Dodgers,San Diego Padres,5,3,N,41765,349
25/08/2021,Wed,Detroit Tigers,St. Louis Cardinals,2,3,D,24304,200
25/08/2021,Wed,Los Angeles Angels,Baltimore Orioles,6,10,N,15867,202
25/08/2021,Wed,Minnesota Twins,Boston Red Sox,9,6,N,28923,247
25/08/2021,Wed,Texas Rangers,Cleveland Indians,2,7,N,11398,176
25/08/2021,Wed,Kansas City Royals,Houston Astros,5,6,D,21052,225
25/08/2021,Wed,Chicago White Sox,Toronto Blue Jays,1,3,N,14276,186
26/08/2021,Thu,Washington Nationals,Miami Marlins,5,7,N,5447,205
26/08/2021,Thu,Cincinnati Reds,Milwaukee Brewers,5,1,D,28656,180
26/08/2021,Thu,San Francisco Giants,New York Mets,3,2,N,25000,187
26/08/2021,Thu,Arizona D'Backs,Philadelphia Phillies,8,7,N,20148,234
26/08/2021,Thu,St. Louis Cardinals,Pittsburgh Pirates,7,11,N,8618,187
26/08/2021,Thu,Los Angeles Dodgers,San Diego Padres,4,0,N,43383,181
26/08/2021,Thu,Los Angeles Angels,Baltimore Orioles,1,13,D,10211,187
26/08/2021,Thu,Minnesota Twins,Boston Red Sox,2,12,N,33746,213
26/08/2021,Thu,Texas Rangers,Cleveland Indians,6,10,N,10827,192
26/08/2021,Thu,New York Yankees,Oakland Athletics,7,6,N,8147,223
26/08/2021,Thu,Kansas City Royals,Seattle Mariners,6,4,N,16882,206
26/08/2021,Thu,Chicago White Sox,Toronto Blue Jays,10,7,D,14958,194
27/08/2021,Fri,San Francisco Giants,Atlanta Braves,5,6,N,35586,174
27/08/2021,Fri,Colorado Rockies,Los Angeles Dodgers,4,2,N,40100,190
27/08/2021,Fri,Cincinnati Reds,Miami Marlins,6,0,N,7119,148
27/08/2021,Fri,Washington Nationals,New York Mets,2,1,N,20274,183
27/08/2021,Fri,Arizona D'Backs,Philadelphia Phillies,6,7,N,23181,252
27/08/2021,Fri,St. Louis Cardinals,Pittsburgh Pirates,4,3,N,12662,198
27/08/2021,Fri,San Diego Padres,Los Angeles Angels,5,0,N,25376,162
27/08/2021,Fri,Tampa Bay Rays,Baltimore Orioles,6,3,N,7155,145
27/08/2021,Fri,Chicago Cubs,Chicago White Sox,13,17,N,37892,249
27/08/2021,Fri,Boston Red Sox,Cleveland Indians,4,3,N,20881,178
27/08/2021,Fri,Toronto Blue Jays,Detroit Tigers,1,2,N,17259,152
27/08/2021,Fri,Milwaukee Brewers,Minnesota Twins,0,2,N,20280,202
27/08/2021,Fri,New York Yankees,Oakland Athletics,8,2,N,22463,207
27/08/2021,Fri,Kansas City Royals,Seattle Mariners,8,7,N,22953,280
27/08/2021,Fri,Houston Astros,Texas Rangers,5,4,N,29286,195
28/08/2021,Sat,San Francisco Giants,Atlanta Braves,5,0,N,39558,173
28/08/2021,Sat,Colorado Rockies,Los Angeles Dodgers,2,5,N,42479,222
28/08/2021,Sat,Cincinnati Reds,Miami Marlins,1,6,N,10407,180
28/08/2021,Sat,Washington Nationals,New York Mets,3,5,N,27870,182
28/08/2021,Sat,Arizona D'Backs,Philadelphia Phillies,0,7,N,24692,177
28/08/2021,Sat,St. Louis Cardinals,Pittsburgh Pirates,13,0,N,20043,225
28/08/2021,Sat,San Diego Padres,Los Angeles Angels,2,10,N,36176,215
28/08/2021,Sat,Tampa Bay Rays,Baltimore Orioles,4,3,N,11110,170
28/08/2021,Sat,Chicago Cubs,Chicago White Sox,7,0,N,38668,165
28/08/2021,Sat,Boston Red Sox,Cleveland Indians,5,3,D,26221,239
28/08/2021,Sat,Toronto Blue Jays,Detroit Tigers,3,2,N,18783,219
28/08/2021,Sat,Milwaukee Brewers,Minnesota Twins,4,6,N,29342,167
28/08/2021,Sat,New York Yankees,Oakland Athletics,2,3,D,18337,165
28/08/2021,Sat,Kansas City Royals,Seattle Mariners,4,2,D,24575,193
28/08/2021,Sat,Houston Astros,Texas Rangers,5,2,N,37810,168
29/08/2021,Sun,San Francisco Giants,Atlanta Braves,0,9,D,28820,195
29/08/2021,Sun,Colorado Rockies,Los Angeles Dodgers,5,0,D,37569,201
29/08/2021,Sun,Cincinnati Reds,Miami Marlins,1,2,D,11019,156
29/08/2021,Sun,Washington Nationals,New York Mets,4,9,D,24247,206
29/08/2021,Sun,Arizona D'Backs,Philadelphia Phillies,4,7,D,22237,205
29/08/2021,Sun,St. Louis Cardinals,Pittsburgh Pirates,3,4,D,10290,180
29/08/2021,Sun,Tampa Bay Rays,Baltimore Orioles,12,8,D,8353,189
